Word	AOA	CNC	FAM	IMG	CMEAN	PMEAN
ACCORDION	-	586	394	576	352	589
AIRPLANE	-	-	-	-	-	-
ALLIGATOR	-	624	442	627	425	772
AMBULANCE	-	595	499	627	-	752
ANCHOR	-	595	458	561	390	-
ANT	-	604	511	613	415	-
APARTMENT	522	575	491	556	490	-
APPLE	211	620	598	637	451	767
APRON	-	-	516	565	-	-
ARMOUR	400	591	406	536	-	-
ASPARAGUS	-	608	534	590	442	-
AVOCADO	-	-	-	-	-	-
AXE	311	623	461	597	-	-
BAG	217	603	634	570	-	-
BAGPIPE	377	601	397	594	380	700
BALL	150	615	575	622	515	-
BALLOON	-	623	520	583	394	-
BANANA	-	633	576	644	449	-
BANJO	-	-	-	-	-	-
BANNER	-	567	381	569	-	620
BARN	289	614	466	589	-	-
BARREL	319	590	487	602	385	616
BASEMENT	-	585	522	571	452	683
BASKET	-	606	485	560	407	-
BAT	-	564	514	586	412	-
BATHTUB	-	-	-	-	-	-
BATON	-	570	424	516	338	-
BAYONET	500	600	293	548	-	-
BAZOOKA	-	-	-	-	-	-
BEANS	-	-	-	-	-	-
BEAR	-	585	526	572	408	-
BEAVER	-	589	470	612	412	819
BED	169	635	636	635	545	-
BEDROOM	206	615	646	629	-	-
BEEHIVE	344	611	398	572	-	-
BEETLE	-	619	503	640	444	-
BEETS	-	-	-	-	-	-
BELT	-	602	550	494	398	-
BENCH	311	614	488	555	-	-
BIKE	-	-	-	-	-	-
BIN	192	598	580	562	-	-
BIRCH	-	620	518	561	448	-
BISCUIT	-	574	521	571	397	-
BISON	-	-	298	541	-	-
BLACKBIRD	-	-	-	-	-	-
BLENDER	-	-	-	-	-	-
BLOUSE	-	640	562	595	530	-
BOARD	-	565	546	592	389	692
BOAT	-	637	584	631	542	-
BOLTS	-	-	-	-	-	-
BOMB	-	595	566	606	497	-
BOOK	214	609	643	591	582	768
BOOKCASE	-	-	-	-	-	-
BOOTS	-	-	-	-	-	-
BOTTLE	-	591	591	619	-	724
BOUQUET	-	566	473	599	423	576
BOW	271	572	489	546	448	-
BOWL	256	575	557	579	447	724
BOX	192	597	599	591	482	-
BRA	-	629	575	624	515	-
BRACELET	-	602	547	606	461	-
BREAD	-	622	611	619	484	-
BRICK	261	610	529	574	398	-
BRIDGE	289	623	561	608	-	-
BROCCOLI	-	-	-	-	-	-
BROOM	-	613	547	608	444	-
BRUSH	214	589	579	570	452	-
BUCKET	-	594	506	586	402	-
BUCKLE	-	568	474	587	366	-
BUDGIE	-	-	-	-	-	-
BUFFALO	-	-	-	-	-	-
BUGGY	-	-	-	-	-	-
BUILDING	300	589	607	578	503	548
BULL	-	-	-	-	-	-
BULLET	-	595	517	611	-	768
BUNGALOW	-	564	421	543	425	548
BUREAU	461	547	395	497	-	-
BUS	-	-	-	-	-	-
BUTTERFLY	-	593	481	624	424	780
BUZZARD	-	-	-	-	-	-
CABBAGE	-	611	504	573	397	-
CABIN	-	596	523	582	488	720
CABINET	383	593	472	524	-	-
CAGE	300	593	487	585	446	-
CAKE	214	624	594	624	473	-
CALF	-	592	511	565	415	-
CAMEL	-	597	421	561	372	-
CAMISOLE	-	-	-	-	-	-
CANARY	-	577	411	533	382	-
CANDLE	-	565	544	594	393	-
CANNON	-	604	498	588	443	-
CANOE	394	623	441	602	-	-
CANTALOUPE	-	-	-	-	-	-
CAP	-	-	429	-	-	-
CAPE	-	581	521	566	427	-
CAR	197	622	634	638	553	638
CARD	-	565	543	578	447	-
CARIBOU	-	-	-	-	-	-
CARPET	-	581	508	538	403	-
CARROT	-	622	539	577	425	-
CART	258	576	454	597	-	-
CAT	-	615	582	617	487	676
CATAPULT	-	-	-	-	-	-
CATERPILLAR	-	586	457	626	387	688
CATFISH	411	614	416	544	356	-
CATHEDRAL	-	553	440	599	448	-
CAULIFLOWER	-	642	462	567	390	-
CEDAR	425	608	381	516	-	-
CELERY	-	-	-	-	-	-
CELLAR	361	572	467	572	438	679
CELLO	-	-	295	-	-	-
CERTIFICATE	439	517	488	529	-	-
CHAIN	311	595	513	559	461	-
CHAIR	-	606	617	610	446	720
CHANDELIER	-	-	-	-	-	-
CHAPEL	361	587	471	560	445	-
CHEESE	211	624	588	592	502	-
CHEETAH	-	-	-	-	-	-
CHERRY	317	611	514	582	497	-
CHICKADEE	-	-	-	-	-	-
CHICKEN	250	614	544	619	462	-
CHIMP	-	-	-	-	-	-
CHIPMUNK	-	611	529	609	442	-
CHISEL	-	597	469	567	408	-
CHURCH	278	587	560	616	520	752
CIGAR	-	580	536	619	395	622
CIGARETTE	-	607	573	645	461	-
CLAM	-	564	486	541	392	-
CLAMP	-	-	-	-	-	-
CLARINET	-	633	464	593	428	-
CLOAK	-	543	423	518	410	-
CLOCK	-	591	608	614	-	708
